,day,temp_high,temp_low,hist_avg_high,hist_avg_low,avg_temp
0,SUN 4/28,18,9,20,9,13.5
1,MON 4/29,16,7,20,9,11.5
2,TUE 4/30,16,10,20,9,13.0
3,WED 5/1,16,8,21,9,12.0
4,THU 5/2,21,8,21,9,14.5
5,FRI 5/3,23,12,21,9,17.5
6,SAT 5/4,22,9,21,9,15.5
7,SUN 5/5,18,7,21,10,12.5
8,MON 5/6,8,6,21,10,7.0
9,TUE 5/7,13,6,22,10,9.5
10,WED 5/8,17,3,22,10,10.0
11,THU 5/9,16,8,22,11,12.0
12,FRI 5/10,20,10,22,11,15.0
13,SAT 5/11,24,10,22,11,17.0
14,SUN 5/12,24,12,22,11,18.0
15,MON 5/13,21,12,23,11,16.5
16,TUE 5/14,12,7,23,11,9.5
17,WED 5/15,12,6,23,11,9.0
18,THU 5/16,13,8,23,12,10.5
19,FRI 5/17,17,10,23,12,13.5
20,SAT 5/18,24,8,23,12,16.0
21,SUN 5/19,24,12,23,12,18.0
22,MON 5/20,23,11,23,12,17.0
23,TUE 5/21,22,12,23,12,17.0
24,WED 5/22,23,15,23,12,19.0
25,THU 5/23,19,14,24,12,16.5
26,FRI 5/24,19,12,24,12,15.5
27,SAT 5/25,24,14,24,12,19.0
28,SUN 5/26,26,13,24,12,19.5
29,MON 5/27,21,16,24,12,18.5
30,TUE 5/28,26,14,24,13,20.0
31,WED 5/29,24,15,24,13,19.5
32,THU 5/30,19,12,24,13,15.5
33,FRI 5/31,16,11,24,13,13.5
34,SAT 6/1,17,13,24,13,15.0
